t,OIOpen,OIHigh,OILow,OIClose,open,high,low,close,Volume,bv,tx,btx,PFopen,PFhigh,PFlow,PFclose,LL,LS
2023-06-16 21:22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047,0.0
2023-06-16 21:23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.718,0.0
2023-06-16 21:24:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683,0.0
2023-06-16 21:41:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39899999999999997,0.0
2023-06-16 21:42:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6000000000000001,0.0
2023-06-16 21:53:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.0
2023-06-16 21:54:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0.0
2023-06-16 22:19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.069
2023-06-16 22:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.018
2023-06-16 23:34:00,0,0,0,0,26340.1,26357.8,26340.0,26356.1,121.576,84.08399999999999,501.0,343.0,0,0,0,0,0,0
2023-06-16 23:35:00,0,0,0,0,26356.0,26356.1,26342.0,26342.1,67.001,8.406999999999998,343.0,100.0,0,0,0,0,0,0
2023-06-16 23:36:00,0,0,0,0,26342.0,26345.8,26340.1,26340.2,78.368,49.220000000000006,312.0,158.0,0,0,0,0,0,0
2023-06-16 23:37:00,0,0,0,0,26340.2,26340.2,26332.0,26334.6,113.57600000000004,44.10700000000001,359.0,142.0,0,0,0,0,0,0
2023-06-16 23:38:00,0,0,0,0,26334.7,26334.7,26325.2,26329.5,85.17500000000001,25.517000000000003,446.0,180.0,0,0,0,0,0,0
2023-06-16 23:39:00,104677.962,104677.962,104670.236,104670.236,26329.5,26329.6,26323.4,26329.3,57.113000000000014,26.905,375.0,161.0,0,0,0,0,0,0
2023-06-16 23:40:00,104665.436,104665.436,104654.324,104654.324,26329.2,26337.6,26329.2,26335.6,96.434,63.23899999999999,404.0,240.0,0,0,0,0,0,0
2023-06-16 23:41:00,104655.062,104663.425,104655.062,104663.425,26335.5,26339.1,26334.7,26339.0,42.45900000000001,23.038000000000004,240.0,134.0,0,0,0,0,0,0
2023-06-16 23:42:00,104662.884,104662.884,104658.114,104658.114,26339.0,26339.1,26337.2,26338.8,59.41299999999998,25.136000000000003,262.0,130.0,0.009607,0.009607,0.009607,0.009607,0,0
2023-06-16 23:43:00,104665.109,104665.109,104664.95,104664.95,26338.8,26338.9,26336.8,26336.8,35.87000000000001,8.364000000000003,187.0,65.0,0.009632,0.009632,0.009632,0.009632,0,0
2023-06-16 23:44:00,104672.624,104672.624,104667.641,104667.641,26336.7,26336.7,26334.8,26334.8,42.00899999999999,9.715000000000002,190.0,68.0,0.009651,0.009651,0.009651,0.009651,0,0
2023-06-16 23:45:00,104654.953,104654.953,104644.447,104644.447,26334.8,26339.0,26334.8,26338.5,106.42299999999997,83.47300000000003,370.0,230.0,0.009635,0.009635,0.009635,0.009635,0,0
2023-06-16 23:46:00,104643.741,104643.741,104640.151,104640.151,26338.5,26339.2,26335.2,26335.2,50.714,25.03700000000001,295.0,127.0,0.009635,0.009635,0.009635,0.009635,0,0
2023-06-16 23:47:00,104645.957,104665.953,104645.957,104665.953,26335.2,26340.2,26334.5,26334.6,80.61199999999998,58.512999999999984,313.0,150.0,0.009679,0.009679,0.009679,0.009679,0,0
2023-06-16 23:48:00,104666.86,104677.586,104666.86,104677.586,26334.5,26334.6,26330.0,26333.7,53.14799999999998,27.976,306.0,145.0,0.00972,0.00972,0.00972,0.00972,0,0
2023-06-16 23:49:00,104673.024,104680.353,104673.024,104680.353,26333.7,26335.0,26330.9,26331.0,61.325,19.564999999999998,261.0,114.0,0.009715,0.009715,0.009715,0.009715,0,0
2023-06-16 23:50:00,104677.665,104677.665,104652.759,104652.759,26331.0,26334.0,26330.1,26332.9,94.37100000000001,67.12899999999999,326.0,187.0,0.009721,0.009721,0.009721,0.009721,0,0
2023-06-16 23:51:00,104666.093,104666.093,104664.704,104664.704,26332.9,26333.0,26326.0,26327.0,69.52099999999999,22.285000000000014,316.0,114.0,0.009721,0.009721,0.009721,0.009721,0,0
2023-06-16 23:52:00,104664.05,104668.849,104664.05,104668.849,26327.0,26328.8,26326.0,26326.1,47.18299999999998,20.861999999999995,250.0,112.0,0.009733,0.009733,0.009733,0.009733,0,0
2023-06-16 23:53:00,104673.874,104680.762,104673.874,104680.762,26326.0,26337.5,26326.0,26334.6,97.75000000000003,71.22400000000003,443.0,274.0,0.009736,0.009736,0.009736,0.009736,0,0
2023-06-16 23:54:00,104681.672,104686.638,104681.672,104686.638,26334.6,26336.8,26334.5,26336.7,34.42700000000001,24.448,272.0,149.0,0.009741,0.009741,0.009741,0.009741,0,0
2023-06-16 23:55:00,104683.638,104683.638,104660.879,104660.879,26336.7,26341.1,26336.7,26340.8,102.91700000000004,79.355,322.0,217.0,0.009741,0.009741,0.009741,0.009741,0,0
2023-06-16 23:56:00,104675.32,104675.32,104674.036,104674.036,26340.7,26340.8,26330.6,26333.7,55.07300000000001,13.02,320.0,120.0,0.0098,0.0098,0.0098,0.0098,0,0
2023-06-16 23:57:00,104664.731,104666.798,104664.731,104666.798,26333.7,26333.7,26330.2,26330.2,29.890000000000008,10.620999999999995,238.0,95.0,0.009877,0.009877,0.009877,0.009877,0,0
2023-06-16 23:58:00,104670.139,104674.994,104670.139,104674.994,26330.3,26338.1,26330.2,26336.1,94.894,57.730000000000004,326.0,175.0,0.009889,0.009889,0.009889,0.009889,0,0
2023-06-16 23:59:00,104680.405,104680.405,104680.356,104680.356,26336.0,26336.1,26335.0,26336.0,45.93299999999999,23.330000000000002,241.0,88.0,0.009868,0.009868,0.009868,0.009868,0,0
